error_rate,response_time,api_failures,user_adoption,cpu_usage,memory_usage,rollout_percentage,action
1.12,179.8,5,31.1,47.5,37.4,75.0,Pause
2.82,299.8,11,80.2,53.8,52.9,75.0,Disable
4.19,267.6,17,92.6,62.2,51.8,100.0,Disable
0.33,110.6,4,30.9,23.1,52.4,25.0,Continue
7.23,521.9,29,55.6,55.0,38.6,75.0,Disable
0.28,148.7,4,13.2,27.7,25.4,10.0,Continue
1.01,198.0,7,55.9,28.0,46.6,75.0,Continue
3.52,309.2,14,58.2,34.5,57.8,75.0,Disable
1.02,142.8,8,14.2,34.4,39.2,50.0,Pause
5.01,450.4,17,37.1,52.1,46.1,50.0,Disable
3.58,278.2,12,51.7,34.3,47.1,75.0,Disable
0.98,241.6,5,50.8,37.3,56.2,50.0,Pause
1.87,214.4,8,91.9,77.1,50.7,25.0,Pause
1.25,124.5,7,32.9,47.4,42.0,100.0,Pause
2.62,159.5,13,5.1,41.8,34.6,75.0,Pause
3.49,347.9,14,35.2,54.9,50.4,75.0,Disable
0.72,146.2,5,91.4,36.8,61.3,100.0,Pause
1.19,203.9,6,81.8,35.0,55.3,50.0,Continue
0.6,111.2,4,93.0,32.4,74.1,100.0,Pause
1.88,165.9,7,36.8,18.7,37.8,25.0,Pause
0.25,50.0,2,36.1,25.8,40.5,10.0,Continue
0.22,57.3,2,90.0,37.0,56.2,25.0,Continue
2.23,322.8,7,25.3,44.6,40.7,100.0,Pause
0.13,118.5,1,69.3,39.8,53.9,50.0,Continue
0.97,165.5,3,54.2,51.2,63.4,75.0,Pause
2.74,313.6,10,30.4,57.0,42.9,75.0,Disable
0.74,103.0,5,29.4,26.7,33.6,75.0,Continue
4.98,342.7,19,44.0,36.7,51.1,100.0,Disable
9.42,785.5,34,43.5,98.0,21.6,10.0,Disable
2.08,155.5,9,85.1,29.6,55.7,100.0,Pause
1.66,253.5,7,87.7,34.2,52.5,10.0,Pause
0.49,62.0,4,32.3,29.1,31.6,25.0,Continue
1.16,174.8,6,18.3,26.6,20.0,10.0,Continue
3.65,319.7,13,38.4,42.0,45.5,100.0,Disable
1.03,228.9,5,27.5,22.0,43.3,50.0,Continue
2.66,351.0,10,27.8,55.9,37.8,75.0,Disable
0.83,259.5,7,47.3,52.6,42.4,25.0,Pause
